,title,discounted price,brand,percent dicount,original cost,image link
86,Solid Men Grey Track Pants,₹229,MRB,61% off,₹599,https://rukminim1.flixcart.com/image/660/792/kw5ag7k0/track-pant/e/a/o/36-tulip107-mrb-original-imag8w3ywdfyyr28.jpeg?q=50
87,Solid Men Multicolor Track Pants,₹229,VGPARROT,77% off,₹999,https://rukminim1.flixcart.com/image/660/792/l1l1rww0/track-pant/h/d/t/xl-check-206-vgparrot-original-imagd3wwh4qrygsh.jpeg?q=50
88,Solid Men Black Track Pants,₹229,Kizaar,83% off,"₹1,399",https://rukminim1.flixcart.com/image/660/792/ko7idu80hlty2aw/track-pant/v/j/d/-original-imagfbr5dnuxnfjd.jpeg?q=50
89,Camouflage Men Multicolor Track Pants,₹229,Foxter,82% off,"₹1,330",https://rukminim1.flixcart.com/image/660/792/l2tcfbk0/track-pant/c/i/s/s-camouflage-men-dark-blue-track-pants-foxter-original-image2gppnvbkqhv.jpeg?q=50
90,"Solid Men Black, Blue Track Pants",₹229,Foxter,82% off,"₹1,330",https://rukminim1.flixcart.com/image/660/792/l2tcfbk0/track-pant/m/c/f/s-solid-men-black-track-pants-foxter-original-image2gqgs8apvw9.jpeg?q=50
91,"Solid Men Black, White Track Pants",₹229,Kizaar,83% off,"₹1,399",https://rukminim1.flixcart.com/image/660/792/kxc5nrk0/track-pant/8/e/o/m-designer-white-block-solid-men-trackpant-kizaar-original-imag9tq58bzm8agh.jpeg?q=50
92,"Signature-04 Blue Men Workout Jogger Pants, Stretch Gym Track Pants, Regular Fit Tapered Sweatpants for Jogging Training and Running Solid Men Blue Track Pants",₹229,Kraasa,82% off,"₹1,299",https://rukminim1.flixcart.com/image/660/792/ksyz8280/track-pant/f/3/0/xxl-ktp1607-kraasa-original-imag6ezh7tkgysuh.jpeg?q=50
93,Solid Men Green Track Pants,₹229,LAHEJA,54% off,₹499,https://rukminim1.flixcart.com/image/660/792/l111lzk0/track-pant/y/0/b/xl-grey-143-laheja-original-imagczp3kczru8ha.jpeg?q=50
94,Solid Men Dark Blue Track Pants,₹229,Vitaan,82% off,"₹1,299",https://rukminim1.flixcart.com/image/660/792/l3es13k0/track-pant/a/d/5/m-vit9018-vitaan-original-imagejcuvcbzzvft.jpeg?q=50
95,Solid Men Grey Track Pants,₹229,Woofit,71% off,₹799,https://rukminim1.flixcart.com/image/660/792/ksgehzk0/track-pant/g/q/s/xxl-wo-tp03-woofit-original-imag6yhaupnvmfwt.jpeg?q=50
96,Solid Men Grey Track Pants,₹229,Foxter,77% off,₹999,https://rukminim1.flixcart.com/image/660/792/l2tcfbk0/track-pant/x/n/o/s-solid-men-greytrack-pants-foxter-original-image2gmwzzyscht.jpeg?q=50
97,Solid Men Green Track Pants,₹229,Kizaar,88% off,"₹1,999",https://rukminim1.flixcart.com/image/660/792/koono280/track-pant/i/w/t/l-solid-green-jogger-trackpants-kizaar-original-imag33yvf5rpnqpm.jpeg?q=50
98,Solid Men Blue Track Pants,₹229,Foxter,77% off,₹999,https://rukminim1.flixcart.com/image/660/792/l2tcfbk0/track-pant/h/5/g/xxl-solid-men-rama-track-pants-foxter-original-image2gnrmy6jysh.jpeg?q=50
99,Solid Men Green Track Pants,₹229,Foxter,77% off,₹999,https://rukminim1.flixcart.com/image/660/792/l2tcfbk0/track-pant/u/q/y/s-solid-men-military-green-track-pants-foxter-original-image2gnyvfquedp.jpeg?q=50
100,Solid Men Grey Track Pants,₹229,BWD,79% off,"₹1,113",https://rukminim1.flixcart.com/image/660/792/kuof5ow0/track-pant/i/n/n/28-tpd-bor-bwd-original-imag7r785r5tfuez.jpeg?q=50
